name,formername,status,address,city,state,zip,county,accreditedby,statelicenseno,initiallicensedate,licenseeffective,licenseexpire,licenseename,administratorname,source,link,documents,note,date_collected
HERITAGE BIRTH CENTER ANCHORAGE,NA,Active,445 WEST 9TH AVENUE,ANCHORAGE,AK,99501,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-010,2012-07-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
HERITAGE BIRTH CENTER PALMER,NA,Active,7200 EAST VALLEY CIRCLE SUITE 6,PALMER,AK,99645,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-009,2011-02-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
HERITAGE BIRTHS,NA,Active,3410 KNOXVILLE AVE,LUBBOCK,TX,79413,LUBBOCK,NA,150068,2018-03-29T00:00:00Z,NA,2020-03-31T00:00:00Z,NA,Alexandra Wyatt,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
HIDALGO MATERNITY CENTER,NA,Active,124 NORTH BRIDGE,HIDALGO,TX,78557,HIDALGO,NA,7202,1987-11-10T00:00:00Z,NA,2019-11-30T00:00:00Z,NA,Roberto Nunez,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
"HOLISTIC SOUTH PREGNANCY & BIRTH CENTER, LLC",NA,Active,9275 SW 152ND STREET SUITE 100,MIAMI,FL,NA,Miami-Dade,NA,356,NA,2018-01-06T00:00:00Z,2020-01-05T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032740-Holistic-South.html,NA,Apr-18
HOLLY NO. 7 BIRTH AND FAMILY HEALTH CENTER,NA,Active,214 HAMMOND STREET,BANGOR,ME,4401,NA,NA,NA,NA,NA,NA,NA,NA,Facebook,https://www.facebook.com/closetohomebirthcenter/,NA,NA,Jun-18
HOLY FAMILY SERVICES,NA,Active,5819 NORTH FM 88,WESLACO,TX,78599,HIDALGO,NA,7203,1986-12-10T00:00:00Z,NA,2018-12-31T00:00:00Z,NA,Sandra Delacruz-Yarrison,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
HOMER BIRTH AND WELLNESS CENTER,NA,Active,P.O. BOX 2982 3902 SHELFORD STREET,HOMER,AK,99603,NA,NA,FBC-017,2017-08-01T00:00:00Z,NA,2018-12-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
"HOUSE OF BIRTH, PLLC",NA,Active,222 W BROCKETT STREET,SHERMAN,TX,75090,GRAYSON,NA,150006,2010-07-22T00:00:00Z,NA,2020-07-31T00:00:00Z,NA,Hillary Lindsey,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
IN DUE SEASON PREGNANCY WELLNESS & BIRTH CENTER,NA,Active,5036 7TH STREET,ZEPHYRHILLS,FL,NA,Pasco,NA,361,NA,2017-02-02T00:00:00Z,2019-02-01T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
INANNA BIRTH & WOMENS CARE,NA,Active,1823 NORTH LOCUST STREET,DENTON,TX,76201,DENTON,NA,8334,2006-03-10T00:00:00Z,NA,2020-03-31T00:00:00Z,NA,Debra Jean Sala,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
INSPIRATION FAMILY BIRTH CENTER,NA,Active,434 GROVE AVENUE,WINTER PARK,FL,NA,Orange,NA,296,NA,2016-07-30T00:00:00Z,2018-07-29T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032742-Inspiration-FL.html,NA,Apr-18
INTERIOR BIRTHING CENTER,NA,Active,1626 30TH AVENUE,FAIRBANKS,AK,99701,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-011,2013-05-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,Part of a clinic,Jun-18
JUBILEE BIRTH CENTER,NA,Active,502 S. COULTER DRIVE,BRYAN,TX,77803,BRAZOS,NA,150020,2011-12-19T00:00:00Z,NA,2019-12-31T00:00:00Z,NA,Toni Kimpel,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
JUNEAU FAMILY HEALTH AND BIRTH CENTER,NA,Active,1601 SALMON CREEK LANE,JUNEAU,AK,99801,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-001,2005-01-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
KALISTA BIRTH SANCTUARY,NA,Active,18 MYRTLE STREET,MEDFORD,OR,97504,JACKSON,NA,07-1628/ORST0522,NA,NA,2018-12-31T00:00:00Z,NA,Wendy Green,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
"KATY BIRTH CENTER, LLC",NA,Active,1002 AVENUE A,KATY,TX,77493,HARRIS,NA,150011,2010-12-10T00:00:00Z,NA,2018-12-31T00:00:00Z,NA,Lynn Wilkinson,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046604-KatyBirthCenter-TX.html,NA,Jun-18
KLAMATH WOMEN'S CLINIC & BIRTH CENTER,NA,Active,1803 MAIN STREET,KLAMATH FALLS,OR,97601,KLAMATH,NA,07-1633/ORST0547,NA,NA,2018-12-31T00:00:00Z,NA,Rebecca Meek,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
LA LUNA BIRTH & WOMEN'S CENTER,NA,Active,"703 SOUTH MAIN STREET, SUITE B 4",COTTONWOOD,AZ,NA,YAVAPAI,NA,UNC6944,NA,2017-10-01T00:00:00Z,2018-09-30T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,https://www.documentcloud.org/documents/5032718-LaLuna.html,NA,Oct-18
LA LUNA BIRTH & WOMEN'S CENTER,NA,Active,"7598 EAST PALO VERDE STREET, SUITE A & B",PRESCOTT VALLEY,AZ,NA,YAVAPAI,NA,UNC7488,NA,2016-12-01T00:00:00Z,2017-11-30T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,NA,Oct-18
LABOR OF LOVE BIRTH CENTER FOR TAMPA,NA,Active,106 MYRTLE RIDGE ROAD,LUTZ,FL,NA,Hillsborough,NA,312,NA,2017-11-14T00:00:00Z,2019-11-13T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032744-LovingArms.html,NA,Apr-18
LABOR OF LOVE BIRTH CENTER INC,NA,Active,421 SOUTH BONNER AVENUE,TYLER,TX,75702,SMITH,NA,8716,2008-11-06T00:00:00Z,NA,2018-11-30T00:00:00Z,NA,Vicky Wells,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
LABOR OF LOVE MIDWIFERY,"WINDSONG MIDWIFERY, LLC",Active,P.O. BOX 874486 2405 KNICK GOOSE BAY ROAD,WASILLA,AK,99687,NA,NA,FBC-014,2015-02-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
LABORS OF LOVE BIRTH CENTER,NA,Active,85 FLOYD ROAD EXT,SPARTANBURG,SC,29307,SPARTANBURG,NA,BC-0008,2008-04-16T00:00:00Z,NA,NA,Labors of Love Birth Center LLC,Linda Weaver,South Carolina Department of Health and Environmental Control,http://www.scdhec.gov/Health/docs/LicensedFacilities/hrbc.pdf,NO DATA,NA,Aug-18
LAKESIDE BIRTH CENTER,NA,Active,2722 214TH AVENUE E,LAKE TAPPS,WA,98391,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.00000015,NA,NA,2019-05-31T00:00:00Z,Special Delivery Midwifery Services,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,https://www.documentcloud.org/documents/5032807-Lakeside-Birth-Center-WA.html,NA,Oct-18
LAVENDER AND ROSES BIRTH AND MOTHERING CENTER,NA,Unknown,516 LOUISIANA AVENUE,LIBBY,MT,59923,NA,NA,NO DATA,NA,NA,NA,NA,NA,Lavender and Roses Birth and Mothering Center,http://lavenderandroses.org/,NO DATA,NA,Jul-18
LEBANON VALLEY BIRTH CENTER,NA,Active,770 HOST ROAD,WOMELSDORF,PA,19567,NA,Accredited by the Commission for the Accreditation of Birth Centers,24023301,NA,NA,NA,NA,NA,Pennsylvania Department of Health Health Care Facilities,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/CommonPOCSelect.asp?formSubmitted=normalformSearch,https://www.documentcloud.org/documents/5032801-LEBANONVALLEYBIRTHCENTER-PA.html,NA,Oct-18
LIFECYCLE WOMANCARE,THE BIRTH CENTER,Active,918 COUNTY LINE ROAD,BRYN MAWR,PA,19010,NA,Accredited by the Commission for the Accreditation of Birth Centers,80053300,NA,NA,NA,NA,NA,Pennsylvania Department of Health Health Care Facilities,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/CommonPOCSelect.asp?formSubmitted=normalformSearch,https://www.documentcloud.org/documents/5032802-LIFECYCLEWOMANCARE-PA.html,NA,Oct-18
LOVERS LANE BIRTH CENTER INC,NA,Active,304 SOUTH COTTONWOOD SUITE A,RICHARDSON,TX,75080,DALLAS,NA,7294,2001-04-09T00:00:00Z,NA,2019-04-30T00:00:00Z,NA,Dinah Waranch,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
"LOVING ARMS BIRTH AND WELLNESS CENTER, LLC",NA,Active,1111 NE 25TH AVENUE SUITE 201,OCALA,FL,NA,Marion,NA,351,NA,2017-01-29T00:00:00Z,2019-01-28T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032744-LovingArms.html,NA,Apr-18
LUNA TIERRA CASA DE PARTOS,NA,Active,4130 HUECO AVENUE,EL PASO,TX,79903,EL PASO,NA,150062,2017-08-16T00:00:00Z,NA,2019-08-31T00:00:00Z,NA,Ruth Kauffman,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
LUNA WOMEN'S WELLNESS AND BIRTH CENTER PC,NA,Active,117 GILLIS AVENUE NE,BRAINERD,MN,56401,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-32831,1/12/17,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
MADEWELL WOMAN,NA,Active,2509 THOMAS AVENUE,DALLAS,TX,75204,DALLAS,NA,150010,2010-12-06T00:00:00Z,NA,2018-12-31T00:00:00Z,NA,Liticia Davis,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
MAGNOLIA BIRTH CENTER,NA,Active,2122 ENTERPRISE ROAD,GREENSBORO,NC,27408,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Magnolia Birth Center,http://www.magnoliabirthcenter.net/,NA,NA,Jun-18
MAGNOLIA BIRTH HOUSE,NA,Active,16821 NE 6TH AVENUE,NORTH MIAMI BEACH,FL,NA,Miami-Dade,NA,358,NA,2018-02-25T00:00:00Z,2020-02-24T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032745-Magnolia-FL.html,NA,Apr-18
MARIN FAMILY BIRTH CENTER,NA,Active,"880 LAS GALLINAS, SUITE 1",SAN RAFAEL,CA,NA,NA,Accredited by the Commission for the Accreditation of Birth Centers,550003621,NA,2017-08-23T00:00:00Z,2018-08-22T00:00:00Z,MARIN CITY HEALTH AND WELLNESS CENTER,NA,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
MARSHALL MIDWIFERY AND BIRTH CENTER,NA,Active,8434 W MAIN STREET,MARSHALL,VA,20115,NA,NA,NA,NA,NA,NA,NA,NA,Marshall Midwifery and Birth Center,http://www.marshallmidwiferybirthcenter.com/Contact.aspx,NA,NA,Jun-18
"MAT-SU BIRTH CENTER, LLC",NA,Active,2650 BROADVIEW AVENUE,WASILLA,AK,99654,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-006,1996-01-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
MATERNIDAD LA LUZ,NA,Active,1308 MAGOFFIN,EL PASO,TX,79901,EL PASO,NA,7321,2001-06-06T00:00:00Z,NA,2018-06-30T00:00:00Z,NA,Judith Lane,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046605-MaternidadLaLuz-TX.html,NA,Jun-18
MATERNIDAD LA PIEDAD BIRTHING CENTER,NA,Active,2230 VETERANS BOULEVARD SUITE 240,EAGLE PASS,TX,78852,MAVERICK,NA,7300,2001-05-07T00:00:00Z,NA,2019-05-31T00:00:00Z,NA,Enrique Lopez,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
MATERNIDAD LAREDO INC,NA,Active,2018 HIDALGO STREET,LAREDO,TX,78040,WEBB,NA,7236,2000-10-25T00:00:00Z,NA,2019-10-31T00:00:00Z,NA,Blanca Gallegos,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046606-MaternidadLaredo-TX.html,NA,Jun-18
MATERNIDAD LOS ANGELES,NA,Active,3712 SANTA URSULA BUILDING 1,LAREDO,TX,78041,NA,NA,8538,2007-08-06T00:00:00Z,NA,2011-08-31T00:00:00Z,NA,NA,Texas Department of State Health Services,NA,NA,NA,Jun-18
MATERNITY CARE CENTER,NA,Active,1308 LAS VACAS,DEL RIO,TX,78840,VAL VERDE,NA,7251,2000-11-30T00:00:00Z,NA,2018-11-30T00:00:00Z,NA,Jesus Ramon,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046607-MaternityCareCenter-TX.html,NA,Jun-18
MATERNITY OPTIONS OF MIAMI,NA,Active,10700 N KENDALL DRIVE SUITE 200,MIAMI,FL,33176,Miami-Dade,NA,364,NA,2018-07-19T00:00:00Z,2020-07-18T00:00:00Z,ELIZABETH DELGADO,SUSANA MELLADO GARCIA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032746-Maternity-Options-FL.html,NA,Apr-18
MERCY BIRTH CENTER,NA,Active,3018 W OVERLAND ROAD,BOISE,ID,83705,NA,NA,NA,NA,NA,NA,NA,NA,Mercy Birth Center,http://www.mercybirthcenter.com/contact/,NA,NA,Jun-18
MERMAID TALES BIRTH CENTER,NA,Active,48 S 100 E,BRIGHAM CITY,UT,84302,BOX ELDER,NA,2017--UT000782,NA,NA,2019-11-29T00:00:00Z,NA,Danielle Checketts,Utah Health Facility Licensing,http://health.utah.gov/hflcra/facinfo.php,NA,NA,Jul-18
MIAMI MATERNITY CENTER,NA,Active,140 NE 119 STREET,MIAMI,FL,NA,Miami-Dade,NA,319,NA,2017-02-23T00:00:00Z,2019-02-22T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032747-Miami-Maternity-Center-FL.html,NA,Apr-18
MID VALLEY MCALLEN BIRTHING CENTER,MCALLEN MATERNITY CLINIC AND FAMILY LIFE CENTER,Active,806 B SOUTH 12TH ST,MCALLEN,TX,78501,HIDALGO,NA,008289; 007798,2001-10-30T00:00:00Z,NA,2019-10-31T00:00:00Z,NA,Adriana Reyes,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046608-MidValleyMcCallenBirthingCenter-TX.html,NA,Jun-18
MIDWIFERY BIRTH CENTER,NA,Active,10566 SE WASHINGTON STREET,PORTLAND,OR,97216,MULTNOMAH,Accredited by the Commission for the Accreditation of Birth Centers,07-1643/ORST0711,NA,NA,2018-12-31T00:00:00Z,NA,Pam Keil,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
MILTON MEMORIAL BIRTHING CENTER,NA,Active,952 FLOWERSVIEW BOULEVARD,LAUREL HILL,FL,NA,Okaloosa,NA,278,NA,2017-05-22T00:00:00Z,2019-05-21T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032748-Milton-FL.html,NA,Apr-18
MINNESOTA BIRTH CENTER,NA,Active,2606 CHICAGO AVENUE SOUTH,MINNEAPOLIS,MN,55407,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-28380,12/14/11,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
MINNESOTA BIRTH CENTER,NA,Active,624 SMITH AVENUE S,ST PAUL,MN,55107,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-31435,2/2/15,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
MISSOURI MENNONITE CLINIC,NA,Active,14093 HOPEWELL ROAD,VERSAILLES,MO,65084,NA,NA,NO DATA,NA,NA,NA,NA,NA,Friends of Missouri Birth Centers,http://www.mobirthcenters.org/birth-centers,NO DATA,NA,Jul-18
MONADNOCK BIRTH CENTER,NA,Active,907 ROUTE 10,WEST SWANZEY,NH,3446,CHESHIRE,NA,3344,2008-02-21T00:00:00Z,2018-05-09T00:00:00Z,2019-02-28T00:00:00Z,NA,Mary Lawlor,New Hampshire Online Licensing,https://nhlicenses.nh.gov/verification/SearchResults.aspx,https://www.documentcloud.org/documents/5032772-MONADNOCKBIRTHCENTER-NH.html,NA,Aug-18
MONTEREY BIRTH AND WELLNESS CENTER,NA,Active,4 HARRIS COURT SUITE A,MONTEREY,CA,93940,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Monterey Birth and Wellness Center,http://www.montereybirthcenter.com/?fbclid=IwAR2RBICJ0YEFHpMRY_8n3G-NS69o1Nk6CNumGECCEzakSUpLk6GwtKsRItU,NA,NA,Jun-18
MOTHERLY WAY MATERNITY SVC PC,NA,Active,1201 WEST TEXAS AVENUE,MIDLAND,TX,79701,MIDLAND,NA,150000,2009-05-26T00:00:00Z,NA,2019-05-31T00:00:00Z,NA,Kelli Beaty,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046609-MotherlyWayMaternityService-TX.html,NA,Jun-18
MOUNT VERNON BIRTH CENTER,NA,Active,916 S 3RD STREET,MOUNT VERNON,WA,98723,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.60172666,NA,NA,2018-08-19T00:00:00Z,Skagit Natural Family Medicine,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
MOUNTAIN MIDWIFERY CENTER INC,NA,Active,3535 S LAFAYETTE STREET SUITE 100B,ENGLEWOOD,CO,NA,ARAPHOE,NA,NA,NA,NA,2019-03-25T00:00:00Z,NA,JOEL RYAN,COLORADO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,https://www.colorado.gov/pacific/cdphe/categories/services-and-information/health/health-facilities,https://www.documentcloud.org/documents/5046731-MOUNTAINMIDWIFERYCENTER.html,NA,May-18
MY FAMILY BIRTH CENTER,NA,Active,"5319 SOUTH 500 EAST, SUITE C",WASHINGTON TERRACE,UT,84405,WEBER,NA,2017-BC-UT000815,NA,NA,2018-06-30T00:00:00Z,NA,Loretta Shupe,Utah Health Facility Licensing,http://health.utah.gov/hflcra/facinfo.php,NA,NA,Jul-18
NATIONAL BIRTH CENTER,NA,Active,2265 BRIDLEWOOD RANCHES DR,SAN MARCOS,TX,78666,HAYS,NA,150042,2015-05-01T00:00:00Z,NA,2019-05-31T00:00:00Z,NA,Dane Carruth,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
NATIVITI FAMILY BIRTH CENTER LLC,NA,Active,26614 OAK RIDGE DRIVE,THE WOODLANDS,TX,77380,MONTGOMERY,Accredited by the Commission for the Accreditation of Birth Centers,150039,2014-11-18T00:00:00Z,NA,2018-11-30T00:00:00Z,NA,Jami Hain,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
NATURAL BEGINNINGS BIRTH AND WELLNESS CENTER,NA,Active,1420 FERN CREEK DRIVE,STATESVILLE,NC,286625,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Natural Beginnings Birth and Wellness Center,http://naturalbeginningsnc.com/,NA,NA,Jun-18
NATURAL BIRTH AND WOMEN'S CENTER LLC,NA,Unknown,20201 SHERMAN WAY 109,CANOGA PARK,CA,91306,NA,NA,NO DATA,NA,NA,NA,NA,NA,The Natural Birth and Women's Center,http://www.gr8birth.com/,NO DATA,NA,Jun-18
NATURAL BIRTH CENTER AND WOMEN'S WELLNESS,NA,Active,432 S SAN VICENTE SUITE 250,LOS ANGELES,CA,90048,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Natural Birth Center and Women's Wellness,http://naturalbirthcenter.com/,NO DATA,NA,Jun-18
NATURAL BIRTH MIDWIFERY SERVICES,NA,Active,123 WELLESLY SE,ALBUQUERQUE,NM,87106,NA,NA,NO DATA,NA,NA,NA,NA,NA,Natural Birth Midwifery,http://www.naturalbirthmidwifery.com/,NO DATA,NA,Jun-18
NATURAL BIRTHWORKS,NA,Active,513 MELALEUCA DRIVE,MARGATE,FL,NA,Broward,NA,360,NA,2016-08-30T00:00:00Z,2018-08-29T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
NEW BEGINNINGS BIRTH CENTER,THE BABY PLACE,Active,270 N LINDER ROAD,MERIDIAN,ID,83642,NA,NA,NA,NA,NA,NA,NA,NA,New Beginnings Natural Birth Center,http://www.newbeginningsbirthcenter.com/,NA,NA,Jun-18
"NEW BIRTH COMPANY, KANSAS CITY",NA,Active,721 N 31ST STREET,KANSAS CITY,KS,66102,Wyandotte,Accredited by the Commission for the Accreditation of Birth Centers,R105001,NA,NA,NA,NA,Tara Titsworth,Kansas Department for Aging and Disability Services,http://www.kdheks.gov/bhfr/fac_list/index.html,https://www.documentcloud.org/documents/5032767-NEWBIRTHCOMPANYKANSASCITY-KS.html,NA,Jun-18
"NEW BIRTH COMPANY, OVERLAND PARK",NA,Active,9209 W 110TH STREET BUILDING 36,OVERLAND PARK,KS,66210,Johnson,Accredited by the Commission for the Accreditation of Birth Centers,R046001,NA,NA,NA,NA,Kendra Wyatt,Kansas Department for Aging and Disability Services,http://www.kdheks.gov/bhfr/fac_list/index.html,https://www.documentcloud.org/documents/5032768-NEWBIRTHCOMPANYOVERLANDPARK-KS.html,NA,Jun-18
NEW EDEN CARE CENTER INC,NA,Active,7980 W 100 S,TOPEKA,IN,46571,NA,NA,12090,NA,NA,NA,NA,Jamie Yoder,Indiana State Department of Health,https://www.in.gov/isdh/reports/QAMIS/birthcdir/wdirbc.htm,https://www.documentcloud.org/documents/5032765-NEWEDENCARECENTER-IND.html,NA,Aug-18
NEW LIFE BIRTH CENTER,NA,Active,610 SOUTH MAIN STREET,ROCKY MOUNT,VA,24151,NA,NA,NA,NA,NA,NA,NA,NA,New Life Birth Center,http://www.newlifebirthcenter.org/,NA,NA,Jun-18
NINE SHORT MONTHS BIRTH AND COMMUNITY WELLNESS CENTER,NA,Active,28250 FRANKLIN ROAD,SOUTHFIELD,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nine Short Months Birth and Community Wellness Center,http://nineshortmonths.com/,NA,NA,Jun-18
NORTH HOUSTON BIRTH CENTER LLC,NA,Active,7007 NORTH FREEWAY SUITE 435,HOUSTON,TX,77076,HARRIS,NA,8048,2004-04-15T00:00:00Z,NA,2019-04-30T00:00:00Z,NA,Kathleen Vandegiessen,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046610-NorthHoustonBirthCenter-TX.html,NA,Jun-18
NORTHERN SUN FAMILY HEALTH CARE AND BIRTH CENTER,NA,Active,53 MAINE STREET,TOPSHAM,ME,4086,NA,NA,NA,NA,NA,NA,NA,NA,Northern Sun Family Health Care and Birth Center,http://northernsunfamilyhealthcare.com/birth-center/,NA,NA,Jun-18
